Scale Ticket #,Time In,Time Out,Commodity,Broker,Hauler,Heavy Weight (lbs),Light Weight (lbs),Net Weight  (lbs) AsFed,Bill Of Lading,Truck,Total
,,,3 commodities,4 brokers,4 haulers,"36,868,565","12,864,100","24,004,465",,,
,,,,,,"101,847","35,536","66,311",,,
,,,Milk Barn 1,3 brokers,3 haulers,"21,976,125","7,673,080","14,303,045",,,
,,,,,,"100,348","35,037","65,311",,,
,,,Milk Barn 1,High Desert Milk,High Desert Milk,"13,434,140","4,727,200","8,706,940",,,
,,,,,,"99,512","35,016","64,496",,,
"66,535",1/1/22 1:10,1/1/22 2:20,Milk Barn 1,High Desert Milk,High Desert Milk,"111,360","43,140","68,220",163632,,0
"66,540",1/1/22 10:49,1/1/22 11:46,Milk Barn 1,High Desert Milk,High Desert Milk,"107,600","44,060","63,540",164100,,0
"66,542",1/1/22 13:16,1/1/22 14:10,Milk Barn 1,High Desert Milk,High Desert Milk,"102,180","38,540","63,640",164101,,0
"66,546",1/1/22 20:58,1/1/22 22:10,Milk Barn 1,High Desert Milk,High Desert Milk,"108,000","39,640","68,360",164153,,0
"66,547",1/2/22 1:16,1/2/22 2:29,Milk Barn 1,High Desert Milk,High Desert Milk,"107,740","39,640","68,100",163636,,0
"66,549",1/2/22 2:58,1/2/22 4:18,Milk Barn 1,High Desert Milk,High Desert Milk,"104,860","38,920","65,940",164155,,0
"66,550",1/2/22 4:21,1/2/22 5:44,Milk Barn 1,High Desert Milk,High Desert Milk,"101,400","37,820","63,580",163805,,0
"66,555",1/2/22 13:10,1/2/22 14:11,Milk Barn 1,High Desert Milk,High Desert Milk,"102,660","38,360","64,300",164105,,0
"66,557",1/2/22 16:07,1/2/22 16:58,Milk Barn 1,High Desert Milk,High Desert Milk,"103,460","39,060","64,400",163131,,0
"66,560",1/2/22 21:23,1/2/22 22:45,Milk Barn 1,High Desert Milk,High Desert Milk,"108,180","38,380","69,800",164157,,0
"66,561",1/3/22 0:09,1/3/22 1:07,Milk Barn 1,High Desert Milk,High Desert Milk,"99,400","39,220","60,180",163640,,0
"66,562",1/3/22 3:19,1/3/22 4:33,Milk Barn 1,High Desert Milk,High Desert Milk,"107,000","38,920","68,080",164159,,0
"66,563",1/3/22 4:21,1/3/22 5:30,Milk Barn 1,High Desert Milk,High Desert Milk,"108,200","38,900","69,300",163496,,0
"66,579",1/3/22 11:58,1/3/22 13:12,Milk Barn 1,High Desert Milk,High Desert Milk,"106,780","39,080","67,700",163955,,0
"66,590",1/3/22 16:18,1/3/22 17:14,Milk Barn 1,High Desert Milk,High Desert Milk,"103,560","35,820","67,740",163429,,0
"66,592",1/3/22 17:51,1/3/22 18:44,Milk Barn 1,High Desert Milk,High Desert Milk,"103,980","35,400","68,580",162693,,0
"66,597",1/4/22 2:10,1/4/22 2:58,Milk Barn 1,High Desert Milk,High Desert Milk,"105,000","35,240","69,760",163870,,0
"66,598",1/4/22 4:32,1/4/22 5:34,Milk Barn 1,High Desert Milk,High Desert Milk,"104,380","35,940","68,440",164300,,0
"66,608",1/4/22 15:24,1/4/22 16:30,Milk Barn 1,High Desert Milk,High Desert Milk,"106,100","35,340","70,760",163432,,0
"66,610",1/4/22 16:13,1/4/22 17:08,Milk Barn 1,High Desert Milk,High Desert Milk,"108,200","36,420","71,780",162696,,0
"66,615",1/4/22 18:14,1/4/22 19:14,Milk Barn 1,High Desert Milk,High Desert Milk,"98,480","29,980","68,500",7761,,0
"66,618",1/5/22 4:06,1/5/22 5:30,Milk Barn 1,High Desert Milk,High Desert Milk,"106,440","37,940","68,500",163809,,0
"66,643",1/5/22 16:36,1/5/22 17:28,Milk Barn 1,High Desert Milk,High Desert Milk,"99,040","36,020","63,020",163135,,0
"66,647",1/6/22 1:21,1/6/22 2:27,Milk Barn 1,High Desert Milk,High Desert Milk,"102,980","34,880","68,100",163644,,0
"66,657",1/6/22 8:33,1/6/22 9:52,Milk Barn 1,High Desert Milk,High Desert Milk,"106,160","35,280","70,880",163814,,0
"66,676",1/6/22 14:51,1/6/22 15:51,Milk Barn 1,High Desert Milk,High Desert Milk,"103,100","33,100","70,000",163378,,0
"66,678",1/6/22 15:40,1/6/22 16:33,Milk Barn 1,High Desert Milk,High Desert Milk,"98,140","32,900","65,240",163139,,0
"66,687",1/6/22 23:57,1/7/22 1:03,Milk Barn 1,High Desert Milk,High Desert Milk,"100,920","32,880","68,040",163648,,0
"66,690",1/7/22 3:30,1/7/22 4:24,Milk Barn 1,High Desert Milk,High Desert Milk,"100,780","32,800","67,980",164164,,0
"66,691",1/7/22 4:15,1/7/22 5:26,Milk Barn 1,High Desert Milk,High Desert Milk,"100,520","32,180","68,340",164304,,0
"66,727",1/7/22 16:01,1/7/22 16:55,Milk Barn 1,High Desert Milk,High Desert Milk,"99,380","30,440","68,940",163436,,0
"66,729",1/7/22 16:49,1/7/22 17:40,Milk Barn 1,High Desert Milk,High Desert Milk,"100,040","30,680","69,360",164501,,0
"66,735",1/7/22 20:27,1/7/22 21:19,Milk Barn 1,High Desert Milk,High Desert Milk,"100,000","30,060","69,940",163679,,0
